id,predicted
914206820-914239427-717245,10.039927771330472
916789157-916823770-824309,13.44468707375261
913341082-977479363-2948,7.665088707985701
889682582-889697172-28720,10.58417041876403
997991699-998006945-417222,12.180970585224209
914931487-815162862-756427,6.580409273095325
967062979-972338656-6209,9.852688476293473
914631734-914748119-740036,8.128401370922925
970976361-973961837-23171,8.29126385994506
979425031-979584385-54031,7.843011568256101
914852625-914864976-744489,6.282183853598585
916756097-816761972-821991,5.941342633889695
916696329-916855303-825770,7.374792633204233
999523609-999562434-491142,6.885258592216413
994901079-894954892-132987,7.772605090174578
911792265-974817039-5087,8.002366464427828
913473302-913536835-687980,10.039927771330472
918117938-918191305-875929,9.690613124940803
915669638-999198198-169214,6.432951134858521
914509149-997196597-527954,6.3458722652382304
914466636-914504651-727452,6.236156803394728
911976099-912089797-626182,7.206985970549902
915856217-888209042-18973,4.650108551109237
996546780-987033916-95530,12.79125903057351
915255159-915271111-760694,12.180970585224209
911838265-992426632-125610,10.61926967051309
916180454-916218907-797699,8.622619850803233
914453038-914480388-726086,9.880970321145586
917356440-917513635-849523,4.398716281691059
994065084-993267732-128428,8.64207951591452
999666124--87921-87921,7.242841543438777
911559110-995018535-113182,10.022954514142326
914091047-914103754-712231,6.259318256097525
914082978--713048-713048,10.039927771330472
912006204-912023621-624089,11.145383371997703
914400724-998465990-431492,9.75202299579727
916989806-917011877-830956,7.359068052424637
981105605-981132165-594905,9.145775889727972
914621984-914836530-743517,7.374792633204233
994391615-994413317-122517,9.738305330663964
986221840-986226389-245826,9.361228776477954
914429773--159582-159582,9.206581594021833
816607922-916641869-817278,6.673458567892813
816607892-916641737-817028,7.372640219617969
914907985-915552331-771712,12.79125903057351
896525352-996536750-166511,7.271597638123511
915593453-915650597-775136,5.9814450540934
996747166-996794369-8868,9.738305330663964
813976692-913980611-706796,9.953429617359737
915592538-915731457-778956,7.211555715210287
917264651-914558484-729811,12.928325065962385
916842236-994757725-127196,12.313567678597376
996616886-989564013-114778,10.61926967051309
995769611-995774852-127246,9.090437306919231
893946462-994097881-9227,7.374792633204233
912071529-912083268-626229,9.880970321145586
913897943-913983106-707013,10.33574852362243
813672642-813741822-696824,4.428059438741443
915554458-915667023-775763,9.75202299579727
913877284-913922050-703929,9.090437306919231
915465315-915489370-769505,12.79125903057351
915547680-915555470-771981,9.145775889727972
816672392-999289428-458308,11.434442643838551
913695348-993513792-122499,6.673458567892813
997125959-997501837-163880,5.9814450540934
815073002-915119611-754586,7.843011568256101
914218322-814238172-717242,5.709936337925376
998011094-994061658-2639,12.180970585224209
813333872-913379535-681929,8.553594792029598
911607344-911635690-515951,9.484868984404901
816164532-916222491-797777,8.852123018546823
911836459-911905701-605911,11.434442643838551
914201055-914237645-717244,9.145775889727972
915477747-915500595-769979,7.665088707985701
998845599-998866030-334101,7.968903290771206
896526332-996537544-8799,12.313567678597376
912772888-985906947-9243,8.64207951591452
898255662-897163012-155657,8.588227713953295
999314341-984280351-62921,10.039927771330472
915679013-815702832-777273,7.206985970549902
997649796-996722988-154123,8.291491339046496
985993572-986007768-108029,6.673458567892813
914246504-979840144-69559,9.880970321145586
911755297-911784742-509539,10.33574852362243
997484517-897508362-162992,8.678168570858144
813884542-913924282-703932,9.698252566599098
898188582-998204291-616056,5.6992486668348485
913441168-913474538-685849,6.736584209806343
988143294-888170332-16561,6.3458722652382304
916979185-916998635-830438,6.867052339774408
987305134-987486287-71663,19.7713001755767
898199282-898796302-318562,8.128401370922925
998090555-998487447-408107,7.605389355047022
997982347-998725380-471458,8.87950293606055
997363280-897375532-156340,6.551214427890794
993909793-893914692-30073,9.852688476293473
916242115-916286538-800346,9.698252566599098
999338011-999545181-486969,7.11749925984546
997535111-897641542-164562,4.650108551109237
994905953-994946978-500374,6.3458722652382304
943311331-973610368-39332,7.5263576982293765
915312519-984138822-54539,8.528269796395328
812855972-913450361-684687,7.772605090174578
996042529-972225479-41034,7.9554618338221905
998724333-998730252-169257,10.58417041876403
974535157-974800942-23598,9.880970321145586
917038996-973245694-86132,3.895752712200536
986273085-986536027-71653,9.607518561513102
967796247-972394998-46007,6.344571029246688
991036385-982670594-5394,7.271597638123511
999227449-995293587-123774,12.113347075571578
976114191-976119878-54847,9.145091239120227
940969085-972077771-132980,8.027834365125818
977533260-987907657-83553,6.2199206894755745
916669399-971901772-19021,6.703358287626892
917998191-972376191-46218,7.915278608304874
913243730-871762422-46032,8.060074485387808
813144972-976171144-54047,7.968903290771206
987774096-971803886-14511,10.747725382473496
992006544-972889482-42909,11.042088564049896
913480821-982137608-64371,8.577804558334426
997039025-997080254-165852,9.880970321145586
915098665-980621286-81790,4.775334795342347
996547957-981227697-58769,5.180498619658919
812173472-976644794-66184,9.755777151274781
983685358-983732682-55143,8.350920111086252
998728231-978678211-43691,7.827087439293234
938473072-971666501-23412,10.022954514142326
914285852-972274410-30082,6.28394949134948
983173527-994001191-104113,7.374792633204233
914244668-997906691-154068,8.80779560313626
915311652-815353382-763901,8.047135426751158
991953957-979670877-62122,8.588227713953295
971104317-974191113-6050,7.74436455522032
946587745-972142239-2513,9.090437306919231
913168046-972176222-24185,7.206985970549902
913451406-913579216-689660,7.962266828891332
815339592-988076562-79087,10.33574852362243
985907064-985980470-122525,9.508533600185444
916137583-816287812-800342,3.895752712200536
953172178-972188093-32311,6.707011673458983
985513643-985529752-14310,6.707011673458983
988328510-972385166-44232,4.775334795342347
916020732-971751193-23377,11.434442643838551
996042367-996245659-158483,8.949462342898896
915203655-974176580-44271,6.536413709969451
999188257-999299407-610735,7.772605090174578
954080072-972198137-24189,10.61926967051309
993575844-981140540-58826,8.119804961051758
913124979-974848872-25420,6.524390685357097
895985732-973045253-56247,8.218489001577897
911907208-974984121-30681,8.949462342898896
994242350-994339087-103665,11.434442643838551
916032161-916105983-793869,9.112043379697328
916361645-816392012-804053,6.867052339774408
